Rank,Term,Score,Search term?,Category?
5362,linear search,1.00,,
5362,logical term,1.00,,
5362,6.8-day co2,1.00,,
5362,non-cefas author,1.00,,
5362,cloud formation8,1.00,,
5362,poc datum,1.00,,
5362,chlorophyll measurement,1.00,,
5362,temperate-zone lake,1.00,,
5362,communica- tion,1.00,,
5362,solar radiation14,1.00,,
5362,temperature program,1.00,,
5362,user community,1.00,,
5362,holistic functioning,1.00,,
5362,temporary summer,1.00,,
5362,ocean physic,1.00,,
5362,4-link chain,1.00,,
5362,iden- slow,1.00,,
5362,fe transport,1.00,,
5362,photoprotective strategy,1.00,,
5362,marine finfish,1.00,,
5362,peninsular region,1.00,,
5362,net phytoplankton,1.00,,
5362,stomach content,1.00,,
5362,unused nutrient,1.00,,
5362,global datum,1.00,,
5362,elasticity analogy,1.00,,
5362,open-ocean specie,1.00,,
5362,matlab script,1.00,,
5362,shipboard studies14,1.00,,
5362,decadal pattern,1.00,,
5362,zinc enrichment,1.00,,
5362,plankton dynamic,1.00,,
5362,historic observation,1.00,,
5362,ln phytoplankton,1.00,,
5362,northern europe,1.00,,
5362,delaware bay,1.00,,
5362,ad pathogenesis,1.00,,
5362,low affinity,1.00,,
5362,deep-sea region,1.00,,
5362,future priority,1.00,,
5362,surface-water chlorophyll,1.00,,
5362,ml aliquot,1.00,,
5362,atmosphere co2,1.00,,
5362,arzal dam,1.00,,
5362,vibrio cholerae,1.00,,
5362,arrhenius behaviour,1.00,,
5362,original arti-,1.00,,
5362,nucleosome packaging,1.00,,
5362,paracalanus parvus,1.00,,
5362,14day-long incubation,1.00,,
5362,marine dis-,1.00,,
5362,biomass estimation,1.00,,
5362,sediment flux,1.00,,
5362,light capture,1.00,,
5362,final flow,1.00,,
5362,huge impact,1.00,,
5362,co2 sequestration,1.00,,
5362,instituto espa,1.00,,
5362,growth yield,1.00,,
5362,biological relation,1.00,,
5362,differential nutrient,1.00,,
5362,trophic relationship,1.00,,
5362,experimental ecology,1.00,,
5362,nutrient runoff,1.00,,
5362,lisa lucas,1.00,,
5362,angio- specie,1.00,,
5362,moderate loading,1.00,,
5362,middepth circulation,1.00,,
5362,mol mol,1.00,,
5362,co2 t2,1.00,,
5362,chl decrease,1.00,,
5362,present-day trend,1.00,,
5362,asymmetrical impact,1.00,,
5362,global rate,1.00,,
5362,low fraction,1.00,,
5362,xie sp,1.00,,
5362,rose ka,1.00,,
5362,prokaryotic food,1.00,,
5362,net catch,1.00,,
5362,systat software,1.00,,
5362,estuary restoration,1.00,,
5362,taxonomic division,1.00,,
5362,fao http,1.00,,
5362,sigma aldrich,1.00,,
5362,arts mt,1.00,,
5362,exploitation ecosystem,1.00,,
5362,copepod reproduction,1.00,,
5362,communicable disease,1.00,,
5362,matthias seaman,1.00,,
5362,non-equilibrium phenomenon,1.00,,
5362,temperature range,1.00,,
5362,nutrient allocation,1.00,,
5362,20-year series,1.00,,
5362,virus population,1.00,,
5362,near-surface water,1.00,,
5362,ed grasshoff,1.00,,
5362,equipment ltd,1.00,,
5362,land-derived nutrient,1.00,,
5362,severe problem,1.00,,
5362,hierarchical system,1.00,,
5362,monthly-interannual scale,1.00,,
5362,k2 constant,1.00,,
5362,global spread,1.00,,
5362,marine isotope,1.00,,
5362,gymnodinium catenata,1.00,,
5362,salinity s,1.00,,
5362,c exhaustion,1.00,,
5362,coincident decrease,1.00,,
5362,hare sr,1.00,,
5362,heterotroph biomass,1.00,,
5362,vindta analysis,1.00,,
5362,deep estuary,1.00,,
5362,mesohaline chesapeake,1.00,,
5362,elemental stoichiometry,1.00,,
5362,fish removal,1.00,,
5362,sie incubation,1.00,,
5362,a diagram,1.00,,
5362,cmin a,1.00,,
5362,continual battle,1.00,,
5362,cmin p,1.00,,
5362,carbon demand,1.00,,
5362,sea-surface chlorophyll,1.00,,
5362,past dozen,1.00,,
5362,protein extract,1.00,,
5362,north indian,1.00,,
5362,abbott mr.,1.00,,
5362,christian jr.,1.00,,
5362,clear picture,1.00,,
5362,in- carbon,1.00,,
5362,intermediate release,1.00,,
5362,future shoaling,1.00,,
5362,estuarine disturbance,1.00,,
5362,general consideration,1.00,,
5362,ciliate bloom,1.00,,
5362,talfe/dfe ratio,1.00,,
5362,rrna gene,1.00,,
5362,biological production,1.00,,
5362,final pon,1.00,,
5362,sea-water com-,1.00,,
5362,creative approach,1.00,,
5362,fish specie,1.00,,
5362,oceanic biology,1.00,,
5362,geochemical viewpoint,1.00,,
5362,standard paradigm,1.00,,
5362,northwest spain,1.00,,
5362,short turnover,1.00,,
5362,global transport,1.00,,
5362,disturbance- distribution,1.00,,
5362,dominant-negative effect,1.00,,
5362,heterotroph group,1.00,,
5362,12th edn,1.00,,
5362,temporal change,1.00,,
5362,secchi-depth transparency,1.00,,
5362,iron reduction,1.00,,
5362,north africa,1.00,,
5362,oxygen availability,1.00,,
5362,on-line estimation,1.00,,
5362,terrestrial gpp,1.00,,
5362,warmer spring,1.00,,
5362,discordant protein,1.00,,
5362,phytoplankton acclimatization,1.00,,
5362,nutrient cycle,1.00,,
5362,energy flux,1.00,,
5362,reliable estimate,1.00,,
5362,phenomenological current,1.00,,
5362,noxious bloom,1.00,,
5362,boss e.,1.00,,
5362,tom andersen,1.00,,
5362,dose response,1.00,,
5362,s-adenosylmethionine synthetase,1.00,,
5362,mm whatman,1.00,,
5362,subpolar latitudes9,1.00,,
5362,ph reduction,1.00,,
5362,southeastern flank,1.00,,
5362,irwin aj,1.00,,
5362,biochemical compound,1.00,,
5362,optical cross-section,1.00,,
5362,low q0,1.00,,
5362,nutrient perturbation,1.00,,
5362,trophic implication,1.00,,
5362,nutrient addition,1.00,,
5362,nigam s.,1.00,,
5362,image processing,1.00,,
5362,gas account,1.00,,
5362,critical review,1.00,,
5362,ecological variation,1.00,,
5362,trophic mismatch,1.00,,
5362,calvin cycle,1.00,,
5362,fourth incubation,1.00,,
5362,active uptake,1.00,,
5362,millipore 12-place,1.00,,
5362,copepod manipulation,1.00,,
5362,inequality constraint,1.00,,
5362,random variability,1.00,,
5362,technology programme,1.00,,
5362,abiotic adsorption,1.00,,
5362,land runoff8,1.00,,
5362,weighted average,1.00,,
5362,seawater matrix,1.00,,
5362,inherent attribute,1.00,,
5362,rocket science,1.00,,
5362,logarithmic transformation,1.00,,
5362,lithogenic iron,1.00,,
5362,trophic regulation,1.00,,
5362,fe water,1.00,,
5362,seasonal average,1.00,,
5362,secular trend,1.00,,
5362,riverine input,1.00,,
5362,catastrophic change,1.00,,
5362,physiological property,1.00,,
5362,carbonate precipitation,1.00,,
5362,caco3 loss,1.00,,
5362,genome search,1.00,,
5362,c-surplus phenomenon,1.00,,
5362,zooplankton grazer,1.00,,
5362,doc amp,1.00,,
5362,biological c-pump,1.00,,
5362,geochemical research,1.00,,
5362,planktonic datum,1.00,,
5362,ciliate community,1.00,,
5362,vertical gradient,1.00,,
5362,nodnethoethsoer- svweristcibhleyda,1.00,,
5362,estuarinecoastal science,1.00,,
5362,trophic-level biomass,1.00,,
5362,carpenter e,1.00,,
5362,dynamic pool,1.00,,
5362,negative slope,1.00,,
5362,fishery science,1.00,,
5362,cylindrical float,1.00,,
5362,predator variation,1.00,,
5362,enso dynamic,1.00,,
5362,euphotic water,1.00,,
5362,assemblage shift,1.00,,
5362,of-the-art review,1.00,,
5362,us-amlr program,1.00,,
5362,dead biomass,1.00,,
5362,green area,1.00,,
5362,dam operation,1.00,,
5362,physiological demand,1.00,,
5362,reproductive delay,1.00,,
5362,c basis,1.00,,
5362,favorable condition,1.00,,
5362,fisons instruments,1.00,,
5362,schizothrix calcicola,1.00,,
5362,scientific principle,1.00,,
5362,inorganic particle,1.00,,
5362,methodological standard,1.00,,
5362,leitz mz3,1.00,,
5362,ocean condition,1.00,,
5362,calcareous skeleton,1.00,,
5362,duplicate observation,1.00,,
5362,cold temperate,1.00,,
5362,ocean study,1.00,,
5362,protein sequence,1.00,,
5362,environmental proteomic,1.00,,
5362,region range,1.00,,
5362,walsh jj,1.00,,
5362,industrial world,1.00,,
5362,online material,1.00,,
5362,photosynthetic health,1.00,,
5362,such variation,1.00,,
5362,pigment marker,1.00,,
5362,g-secretase www.sciencemag.org,1.00,,
5362,complex thing,1.00,,
5362,devol ah,1.00,,
5362,salmon production,1.00,,
5362,primary source,1.00,,
5362,photosynthetic indicator,1.00,,
5362,feeding ecology,1.00,,
5362,chl variation,1.00,,
5362,dynamic topography,1.00,,
5362,organic iron,1.00,,
5362,southwestern india,1.00,,
5362,systat version,1.00,,
5362,molecular biology,1.00,,
5362,avhrr estimate,1.00,,
5362,monsoon dynamic,1.00,,
5362,southern sahara,1.00,,
5362,chemical mixture,1.00,,
5362,modern direction,1.00,,
5362,acartia hudsonica,1.00,,
5362,co2 enricher,1.00,,
5362,debora iglesias-rodriguez,1.00,,
5362,flow structure,1.00,,
5362,average ocean,1.00,,
5362,median winter,1.00,,
5362,coastal resource,1.00,,
5362,sea area,1.00,,
5362,predissolution measurement,1.00,,
5362,chl-a region,1.00,,
5362,community genomic,1.00,,
5362,arrest development,1.00,,
5362,numerical tool,1.00,,
5362,carl zeiss,1.00,,
5362,geochemical measurement,1.00,,
5362,simultaneous diatom-,1.00,,
5362,small contributor,1.00,,
5362,technology development,1.00,,
5362,other mode,1.00,,
5362,black track,1.00,,
5362,karl d,1.00,,
5362,pco2 mixture,1.00,,
5362,post-translational modification,1.00,,
5362,striking pattern,1.00,,
5362,fresher water,1.00,,
5362,shift change,1.00,,
5362,conceptual scheme,1.00,,
5362,annual deviation,1.00,,
5362,local trend,1.00,,
5362,aqueous iron,1.00,,
5362,present address,1.00,,
5362,atlantic sector,1.00,,
5362,anthropogenic impact,1.00,,
5362,land islands,1.00,,
5362,pelagic region,1.00,,
5362,europa scientific,1.00,,
5362,tidal stress,1.00,,
5362,operational definition,1.00,,
5362,carlson ca,1.00,,
5362,blue mussel,1.00,,
5362,coral mega-reef,1.00,,
5362,20-odd-year time-sery,1.00,,
5362,lima no,1.00,,
5362,economical method,1.00,,
5362,multicentury change,1.00,,
5362,c estimation,1.00,,
5362,seasonal mixing,1.00,,
5362,nutrient-limited phytoplankton,1.00,,
5362,vari- ability,1.00,,
5362,enzymatic reaction,1.00,,
5362,active excretion,1.00,,
5362,european way,1.00,,
5362,excessive bloom,1.00,,
5362,alternative parameter,1.00,,
5362,ecological pattern,1.00,,
5362,cloud-condensation nucleus,1.00,,
5362,system production,1.00,,
5362,running sw.,1.00,,
5362,future warming,1.00,,
5362,herbivorous mesozooplankton,1.00,,
5362,turnover rate,1.00,,
5362,new england,1.00,,
5362,human liver,1.00,,
5362,cop n,1.00,,
5362,decadalscale variability11,1.00,,
5362,additional variable,1.00,,
5362,field db,1.00,,
5362,optical component,1.00,,
5362,so-called iron-stress,1.00,,
5362,microscopic analysis,1.00,,
5362,parks road,1.00,,
5362,stressed environment,1.00,,
5362,low-level persistence,1.00,,
5362,schouten s,1.00,,
5362,food vacuole,1.00,,
5362,lentic system,1.00,,
5362,environmental homeostasis,1.00,,
5362,metal cycling,1.00,,
5362,severe response,1.00,,
5362,galapagos islands,1.00,,
5362,such eddy,1.00,,
5362,fossil record,1.00,,
5362,marine sciences,1.00,,
5362,nontoxic form,1.00,,
5362,3-pt running,1.00,,
5362,dominant specie,1.00,,
5362,coccolith formation,1.00,,
5362,diploid life,1.00,,
5362,february24 march,1.00,,
5362,p-i curve,1.00,,
5362,climate-driven change,1.00,,
5362,trend line,1.00,,
5362,vernal blooming,1.00,,
5362,dissimilatory process,1.00,,
5362,longterm decrease,1.00,,
5362,variable discussion,1.00,,
5362,rrez d,1.00,,
5362,ecosystem-based management,1.00,,
5362,dominant component,1.00,,
5362,food quantity,1.00,,
5362,three-week interval,1.00,,
5362,chlorella vulgaris,1.00,,
5362,calcite input,1.00,,
5362,benthic guild,1.00,,
5362,ecosystem box,1.00,,
5362,c limitation,1.00,,
5362,genetic change,1.00,,
5362,brest ecosystem,1.00,,
5362,coastal plume,1.00,,
5362,co2-perturbed microcosm,1.00,,
5362,rapid reorganization,1.00,,
5362,coastal acidification,1.00,,
5362,thermaikos bay,1.00,,
5362,s9 reference,1.00,,
5362,dec formation,1.00,,
5362,fega enrichment,1.00,,
5362,ecosystem degradation,1.00,,
5362,further search,1.00,,
5362,wind-driven change,1.00,,
5362,downstream water,1.00,,
5362,tertiary productivity,1.00,,
5362,zooplankton-mediated flow,1.00,,
5362,survival alternative,1.00,,
5362,log-linear function,1.00,,
5362,bacterial success,1.00,,
5362,protein extraction,1.00,,
5362,danube outflow,1.00,,
5362,dec loss,1.00,,
5362,thermocline/ nutricline,1.00,,
5362,natural discontinuity,1.00,,
5362,oxygen-consuming metabolism,1.00,,
5362,detailed information,1.00,,
5362,plankton abundance,1.00,,
5362,scale change,1.00,,
5362,carbonate saturation,1.00,,
5362,continuous circulation,1.00,,
5362,down-core trend,1.00,,
5362,prey item,1.00,,
5362,biogeochemical feedback,1.00,,
5362,fast-growing algae,1.00,,
5362,coccolithophore cell,1.00,,
5362,colloidal material,1.00,,
5362,real-ecosystem complexity,1.00,,
5362,long path,1.00,,
5362,southern boundary,1.00,,
5362,ozone depletion,1.00,,
5362,modeled chlorophyll,1.00,,
5362,insect herbivore,1.00,,
5362,plankton ecologist,1.00,,
5362,presentday variability,1.00,,
5362,beta triangle,1.00,,
5362,iron deficiency,1.00,,
5362,model system,1.00,,
5362,alexandrium minuta,1.00,,
5362,overarching analysis,1.00,,
5362,treatment uvstress,1.00,,
5362,caco3 content,1.00,,
5362,shallow thermocline/nutricline,1.00,,
5362,3o10 n,1.00,,
5362,proportional abundance,1.00,,
5362,net respiration,1.00,,
5362,grazing-selection pressure,1.00,,
5362,striking warm,1.00,,
5362,k-adapted recovery,1.00,,
5362,limited change,1.00,,
5362,pseudocalanus sp.,1.00,,
5362,copepod impact,1.00,,
5362,technicon autoanalyzer,1.00,,
5362,indi- vidual,1.00,,
5362,machin- earth,1.00,,
5362,habitat degradation,1.00,,
5362,small vial,1.00,,
5362,color coding,1.00,,
5362,estuarine-coastal eutrophication,1.00,,
5362,mylar filter,1.00,,
5362,continental-shelf sediment,1.00,,
5362,tracer experiment,1.00,,
5362,dietary shift,1.00,,
5362,species response,1.00,,
5362,oneminute interval,1.00,,
5362,schneider n,1.00,,
5362,iron regeneration,1.00,,
5362,pool quinone,1.00,,
5362,black-legged kittiwake,1.00,,
5362,concomitant decrease,1.00,,
5362,poc response,1.00,,
5362,typical size,1.00,,
5362,radioactive leucine,1.00,,
5362,soft-bottom community,1.00,,
5362,low co2,1.00,,
5362,chlorophyll observation,1.00,,
5362,deep pycnocline,1.00,,
5362,non-calcifying phytoplankton,1.00,,
5362,source area,1.00,,
5362,mixedlayer depth,1.00,,
5362,ecological interpretation,1.00,,
5362,dpsir framework,1.00,,
5362,matlab software,1.00,,
5362,current state,1.00,,
5362,most-limiting nutrient,1.00,,
5362,mixed culture,1.00,,
5362,iron stimulation,1.00,,
5362,speciesdiverse system,1.00,,
5362,southwestern portion,1.00,,
5362,vibrio bacteria,1.00,,
5362,car- bon,1.00,,
5362,p limi0,1.00,,
5362,calcofi report,1.00,,
5362,rhine-meuse estuary,1.00,,
5362,multidimensional change,1.00,,
5362,south florida,1.00,,
5362,social system,1.00,,
5362,utmost importance,1.00,,
5362,vertical stability,1.00,,
5362,coastal runoff20,1.00,,
5362,prey heterogeneity,1.00,,
5362,anthropogenic source,1.00,,
5362,graphical model,1.00,,
5362,binary system,1.00,,
5362,average grazer,1.00,,
5362,community-level response,1.00,,
5362,apparent competition,1.00,,
5362,benthos surface,1.00,,
5362,phytoplankton-nauplii tro,1.00,,
5362,sediment chemistry,1.00,,
5362,generalist specie,1.00,,
5362,temporal availability,1.00,,
5362,chlorophyll pigment,1.00,,
5362,tilbrook b,1.00,,
5362,terrestrial photosynthesis,1.00,,
5362,dom fraction,1.00,,
5362,virus infection,1.00,,
5362,multi-model analysis,1.00,,
5362,export production2,1.00,,
5362,low size,1.00,,
5362,food web4,1.00,,
5362,physical determinant,1.00,,
5362,production map,1.00,,
5362,antarctic silverfish,1.00,,
5362,fundamental relationship,1.00,,
5362,evolutionary change,1.00,,
5362,sedimentary rock,1.00,,
5362,mestas-nunz am,1.00,,
5362,microbial cell,1.00,,
5362,genetic analysis,1.00,,
5362,short-term incubation,1.00,,
5362,exogenous n,1.00,,
5362,warmer climate,1.00,,
5362,toxic metal,1.00,,
5362,upper constraint,1.00,,
5362,nutrient-limited estuary,1.00,,
5362,amphiura filiformis,1.00,,
5362,pronounced release,1.00,,
5362,tandem mass-spectrometry,1.00,,
5362,smp datum,1.00,,
5362,apparent reorganization,1.00,,
5362,contextual view,1.00,,
5362,supplementary figs,1.00,,
5362,pp activity,1.00,,
5362,summer rate,1.00,,
5362,carbon/nitrogen ratio,1.00,,
5362,target ph,1.00,,
5362,kelly use,1.00,,
5362,sediment model,1.00,,
5362,complex macrophyte,1.00,,
5362,station s,1.00,,
5362,norwegian spring-spawning,1.00,,
5362,qm-a filter,1.00,,
5362,uptake capacity,1.00,,
5362,cytoplasmic ph,1.00,,
5362,group ges,1.00,,
5362,williams pjl,1.00,,
5362,high-light subexperiment,1.00,,
5362,oceanic circulation,1.00,,
5362,figure s1,1.00,,
5362,u- ence,1.00,,
5362,hierarchy mortality,1.00,,
5362,netherlands-bremen cooperation,1.00,,
5362,freshwater flow,1.00,,
5362,essential metal,1.00,,
5362,photosynthetic performance,1.00,,
5362,small oligotrich,1.00,,
5362,indirect interaction,1.00,,
5362,missing rate,1.00,,
5362,plankton stoichiometry,1.00,,
5362,pristine ecosystem,1.00,,
5362,eric rehm,1.00,,
5362,dip molecule,1.00,,
5362,planktonic response,1.00,,
5362,massive loss,1.00,,
5362,medieval climate,1.00,,
5362,short-term phenomenon,1.00,,
5362,gewin v.,1.00,,
5362,current phase,1.00,,
5362,direct linkage,1.00,,
5362,sinkable poc,1.00,,
5362,continuous upwelling,1.00,,
5362,pe tube,1.00,,
5362,incorporation rate,1.00,,
5362,metal p,1.00,,
5362,societal choice,1.00,,
5362,surface expression,1.00,,
5362,peptidoglycan remnant,1.00,,
5362,opaline silica,1.00,,
5362,dissociation constant,1.00,,
5362,turbulence concept,1.00,,
5362,introduction sunlight,1.00,,
5362,infectious dose,1.00,,
5362,organism-level interaction,1.00,,
5362,n-3 hufa,1.00,,
5362,oxidation-reduction system,1.00,,
5362,uml depth,1.00,,
5362,bac c,1.00,,
5362,tial nutrient,1.00,,
5362,bountiful life,1.00,,
5362,n-dimensional trajectory,1.00,,
5362,cop amp,1.00,,
5362,nutrient-enrichment response,1.00,,
5362,consumer stock,1.00,,
5362,biddy t,1.00,,
5362,anderson la,1.00,,
5362,halskov rev,1.00,,
5362,initial testing,1.00,,
5362,vertical partitioning,1.00,,
5362,metabolic efficiency,1.00,,
5362,colder climate,1.00,,
5362,nitzschia spp,1.00,,
5362,special issue,1.00,,
5362,bacterial density,1.00,,
5362,steady recovery,1.00,,
5362,total peroxide,1.00,,
5362,river tyne,1.00,,
5362,atlantic water,1.00,,
5362,eutrophication response,1.00,,
5362,consequent decrease,1.00,,
5362,european context,1.00,,
5362,inflection axis,1.00,,
5362,sfsotrevac3hb tmimoen-tshelryiepsr,1.00,,
5362,reciprocal oscillation,1.00,,
5362,zooplankton respiration,1.00,,
5362,staurastrum luetkemullerii,1.00,,
5362,predatorfree treatment,1.00,,
5362,downward displacement,1.00,,
5362,monsoon introduce,1.00,,
5362,biogeochemical cycling15,1.00,,
5362,proterozoic epoch,1.00,,
5362,term e-kz,1.00,,
5362,darryl r,1.00,,
5362,water movement,1.00,,
5362,parry ml,1.00,,
5362,hnp nano-heterotroph,1.00,,
5362,southwesterly direction,1.00,,
5362,bolinopsis figure,1.00,,
5362,lewis cvw,1.00,,
5362,humber estuary,1.00,,
5362,eutrophication-induced hypoxia,1.00,,
5362,real world,1.00,,
5362,climate shift,1.00,,
5362,depth information,1.00,,
5362,2ga complex,1.00,,
5362,cardinal question,1.00,,
5362,app processing,1.00,,
5362,species-specific response,1.00,,
5362,friederich ge,1.00,,
5362,phytoplanktonic taxa,1.00,,
5362,joinville island,1.00,,
5362,freshwater experiment,1.00,,
5362,benthic-pelagic coupling,1.00,,
5362,herwig stibor1*,1.00,,
5362,complicated picture,1.00,,
5362,nental agriculture,1.00,,
5362,high ge,1.00,,
5362,upwelling ecosystems,1.00,,
5362,outdoor microcosm,1.00,,
5362,phosphate utilization,1.00,,
5362,organismal process,1.00,,
5362,temperate grassland,1.00,,
5362,10-fold reduction,1.00,,
5362,zonal box,1.00,,
5362,broad suite,1.00,,
5362,analytical assistance,1.00,,
5362,eu partner,1.00,,
5362,fourth replicate,1.00,,
5362,growth strategy,1.00,,
5362,sequential cleavage,1.00,,
5362,transmission volt,1.00,,
5362,dl kirchman,1.00,,
5362,franks pjs,1.00,,
5362,freshwater plankton,1.00,,
5362,such change,1.00,,
5362,multi-year time-sery,1.00,,
5362,negative accumulation,1.00,,
5362,cil rate,1.00,,
5362,river channel,1.00,,
5362,arthur harbor,1.00,,
5362,station location,1.00,,
5362,pco2/lower ph,1.00,,
5362,experimental ln,1.00,,
5362,net change,1.00,,
5362,microscopic counting,1.00,,
5362,c build-up,1.00,,
5362,latitudinal variation,1.00,,
5362,anthropogenic co,1.00,,
5362,mussel culture,1.00,,
5362,plot trajectory,1.00,,
5362,ice condition,1.00,,
5362,daily measurement,1.00,,
5362,tight coupling,1.00,,
5362,enrichment act,1.00,,
5362,goering jj,1.00,,
5362,misleading impression,1.00,,
5362,benthic station,1.00,,
5362,gdp pbmeaarrccyevnpatraroigdeeudcootfinotlhnyegsclriaogdnhisteulynmtwp,1.00,,
5362,ocean geochemistry,1.00,,
5362,genotypic variation,1.00,,
5362,copernicus publication,1.00,,
5362,year-class strength,1.00,,
5362,respective es,1.00,,
5362,radioactive phosphate,1.00,,
5362,cam- bridge,1.00,,
5362,histone protein,1.00,,
5362,restricted sense,1.00,,
5362,model prediction,1.00,,
5362,ill-health diagnostic,1.00,,
5362,dam construction,1.00,,
5362,environmental manager,1.00,,
5362,moss landing,1.00,,
5362,loch creran,1.00,,
5362,biogenic emission,1.00,,
5362,bopp l,1.00,,
5362,ecological experiment,1.00,,
5362,elementspecific characteristic,1.00,,
5362,expert observation,1.00,,
5362,deep thermocline,1.00,,
5362,wolter k,1.00,,
5362,l culture,1.00,,
5362,glucose carbon,1.00,,
5362,monoclonal culture,1.00,,
5362,genera strobilidium,1.00,,
5362,arctic ocean18,1.00,,
5362,planktonic n,1.00,,
5362,successional sequence,1.00,,
5362,quan- tification,1.00,,
5362,bac fig.11,1.00,,
5362,trophic explanation,1.00,,
5362,6-h position,1.00,,
5362,special case,1.00,,
5362,accu- mulation,1.00,,
5362,anaerobic process,1.00,,
5362,cariaco series,1.00,,
5362,ml polyethylene,1.00,,
5362,actual temperature,1.00,,
5362,social te,1.00,,
5362,modoki index,1.00,,
5362,zooplankton flow,1.00,,
5362,nutrient context,1.00,,
5362,dangerous speculate,1.00,,
5362,predominant factor,1.00,,
5362,least-square problem,1.00,,
5362,low-flow condition,1.00,,
5362,copepod community,1.00,,
5362,mole co2,1.00,,
5362,bransfield station,1.00,,
5362,trophic effects34,1.00,,
5362,calcification impact,1.00,,
5362,coccolith fraction,1.00,,
5362,prior state,1.00,,
5362,model calculation,1.00,,
5362,incubation temperature,1.00,,
5362,well-defined pattern,1.00,,
5362,planktonic calcification,1.00,,
5362,heterotrophic predator,1.00,,
5362,gene sequence,1.00,,
5362,freshwater algae,1.00,,
5362,light switch,1.00,,
5362,simple assumption,1.00,,
5362,persistent brown-tide,1.00,,
5362,tidal system,1.00,,
5362,ocean basin,1.00,,
5362,aggregative approach,1.00,,
5362,deep surface,1.00,,
5362,nitrate utilization,1.00,,
5362,other component,1.00,,
5362,si-n-limited growth,1.00,,
5362,multi-decadal climate,1.00,,
5362,silicate treatment,1.00,,
5362,morel a,1.00,,
5362,phosphate exchange,1.00,,
5362,indirect support,1.00,,
5362,c cop,1.00,,
5362,fish stock,1.00,,
5362,equilibrium constant,1.00,,
5362,pertinent science,1.00,,
5362,michael j,1.00,,
5362,ciencias naturales,1.00,,
5362,cellular n,1.00,,
5362,social group,1.00,,
5362,figure 5f,1.00,,
5362,figure 5d,1.00,,
5362,figure 5e,1.00,,
5362,figure 5c,1.00,,
5362,figure 5a,1.00,,
5362,initial abundance,1.00,,
5362,michael w,1.00,,
5362,g. oceanica,1.00,,
5362,hi5g6h789nutrient input,1.00,,
5362,clear response,1.00,,
5362,clear signal,1.00,,
5362,local settlement,1.00,,
5362,r werner,1.00,,
5362,von gyldenfeldt,1.00,,
5362,hindcast simulation,1.00,,
5362,michaels a,1.00,,
5362,low pressure,1.00,,
5362,north-east pacific,1.00,,
5362,earth science,1.00,,
5362,phytoplankton consumption,1.00,,
5362,sustainable fishery,1.00,,
5362,climatic anomaly,1.00,,
5362,weather pattern,1.00,,
5362,anthropogenic rise,1.00,,
5362,eutrophic condition,1.00,,
5362,climate processes3,1.00,,
5362,slow diffusion,1.00,,
5362,resilience collapse,1.00,,
5362,n sink,1.00,,
5362,quantitative requirement,1.00,,
5362,circulation west,1.00,,
5362,medium term,1.00,,
5362,material flux,1.00,,
5362,analogous interaction,1.00,,
5362,reagents/materials/analysis tool,1.00,,
5362,generic modelling,1.00,,
5362,phytoplankton respiration,1.00,,
5362,recent progress,1.00,,
5362,cross-ecosystem comparison,1.00,,
5362,nutrient richness,1.00,,
5362,minimummaximum range,1.00,,
5362,global synthesis,1.00,,
5362,peter blomqvist,1.00,,
5362,ecosystem impact,1.00,,
5362,deep chlorophyll-,1.00,,
5362,sensitive seabird,1.00,,
5362,credible capability,1.00,,
5362,app hnp,1.00,,
5362,allen js,1.00,,
5362,late hatching,1.00,,
5362,low c,1.00,,
5362,clement ac,1.00,,
5362,seasonal duration,1.00,,
5362,figure 1b-iii,1.00,,
5362,anthropogenic influence,1.00,,
5362,oceanic seawater,1.00,,
5362,comprehensive perspective,1.00,,
5362,inland ice,1.00,,
5362,prominent source,1.00,,
5362,3h leucine,1.00,,
5362,chain length,1.00,,
5362,biogeochemical importance,1.00,,
5362,h .w.d,1.00,,
5362,physical existence,1.00,,
5362,inverse microscopy,1.00,,
5362,inoculum factor,1.00,,
5362,unexplained variability,1.00,,
5362,microbial competitor,1.00,,
5362,exponential regression,1.00,,
5362,direct manipulation,1.00,,
5362,signal-response function,1.00,,
5362,prokaryotic virus,1.00,,
5362,astor y,1.00,,
5362,average outcome,1.00,,
5362,ciliate abundance,1.00,,
5362,shallow coastal,1.00,,
5362,ultraviolet radiation,1.00,,
5362,lotka-volterra equation,1.00,,
5362,mm ga,1.00,,
5362,nursery habitat,1.00,,
5362,transparency datum,1.00,,
5362,surface nutrient,1.00,,
5362,productivity change,1.00,,
5362,magnitude decrease,1.00,,
5362,principal axis,1.00,,
5362,analytical model,1.00,,
5362,e.g.primary production,1.00,,
5362,chemical fraction,1.00,,
5362,upper bound,1.00,,
5362,short residence,1.00,,
5362,irradiance adjustment,1.00,,
5362,sweeping conclusion,1.00,,
5362,ecosystem succession,1.00,,
5362,microalgal culture,1.00,,
5362,bacterial energetic,1.00,,
5362,biomass stock,1.00,,
5362,mature state,1.00,,
5362,feeding response,1.00,,
5362,tentative explanation,1.00,,
5362,port city,1.00,,
5362,system heterogeneity,1.00,,
5362,limited experimentation,1.00,,
5362,hnlc situation,1.00,,
5362,marine policy,1.00,,
5362,population maintenance,1.00,,
5362,low capacity,1.00,,
5362,specific area,1.00,,
5362,protist predation,1.00,,
5362,vegetational concept,1.00,,
5362,mortality rate,1.00,,
5362,caco3 cell21,1.00,,
5362,particle flux,1.00,,
5362,fasullo jt,1.00,,
